Setup title,Cdg-V_high_voltage
79.2005,4.13961111111111E-14,-7.01502222222222E-08,3.72565E-14,-6.31352E-08,-1.81E-08,1000000,
79.6005,4.15317777777778E-14,-6.93335555555556E-08,3.73786E-14,-6.24002E-08,1.517E-08,1000000,
80,4.14755555555556E-14,-6.63051111111111E-08,3.7328E-14,-5.96746E-08,-9.32E-09,1000000,
80.4,4.11362222222222E-14,-6.91834444444444E-08,3.70226E-14,-6.22651E-08,-2.5E-10,1000000,
80.8005,4.11362222222222E-14,-6.57333333333333E-08,3.70226E-14,-5.916E-08,-1.237E-08,1000000,
81.2,4.08786666666667E-14,-6.83843333333333E-08,3.67908E-14,-6.15459E-08,2.253E-08,1000000,
81.6005,4.06004444444444E-14,-6.70511111111111E-08,3.65404E-14,-6.0346E-08,-9.15E-09,1000000,
81.9995,4.07374444444444E-14,-6.78148888888889E-08,3.66637E-14,-6.10334E-08,5.48E-09,1000000,
82.3995,4.02291111111111E-14,-6.96358888888889E-08,3.62062E-14,-6.26723E-08,-4.118E-08,1000000,
82.8,4.0313E-14,-6.48591111111111E-08,3.62817E-14,-5.83732E-08,-6.04E-09,1000000,
83.2005,4.00667777777778E-14,-6.83798888888889E-08,3.60601E-14,-6.15419E-08,-2.743E-08,1000000,
83.6,4.02733333333333E-14,-6.77066666666667E-08,3.6246E-14,-6.0936E-08,-2.085E-08,1000000,
84.0005,3.97407777777778E-14,-6.52123333333333E-08,3.57667E-14,-5.86911E-08,-2.802E-08,1000000,
84.4,3.9818E-14,-6.7274E-08,3.58362E-14,-6.05466E-08,-3.901E-08,1000000,
84.8,3.95784444444444E-14,-6.57574444444444E-08,3.56206E-14,-5.91817E-08,-2.542E-08,1000000,
85.1995,3.97077777777778E-14,-6.68722222222222E-08,3.5737E-14,-6.0185E-08,-9.83E-09,1000000,
85.6005,3.92784444444444E-14,-6.42078888888889E-08,3.53506E-14,-5.77871E-08,-2.35E-08,1000000,
86.0005,3.93146666666667E-14,-6.57066666666667E-08,3.53832E-14,-5.9136E-08,-1.514E-08,1000000,
86.4,3.93268888888889E-14,-6.49385555555556E-08,3.53942E-14,-5.84447E-08,1.094E-08,1000000,
86.8,3.92833333333333E-14,-6.72982222222222E-08,3.5355E-14,-6.05684E-08,1.309E-08,1000000,
87.201,3.88832222222222E-14,-6.45808888888889E-08,3.49949E-14,-5.81228E-08,-5.72E-09,1000000,
87.6005,3.92478888888889E-14,-6.35324444444444E-08,3.53231E-14,-5.71792E-08,2.964E-08,1000000,
88,3.89088888888889E-14,-6.51681111111111E-08,3.5018E-14,-5.86513E-08,1.798E-08,1000000,
88.4,3.88055555555556E-14,-6.54395555555556E-08,3.4925E-14,-5.88956E-08,1.42E-09,1000000,
88.8,3.85568888888889E-14,-6.4561E-08,3.47012E-14,-5.81049E-08,-1.931E-08,1000000,
89.1995,3.83523333333333E-14,-6.47198888888889E-08,3.45171E-14,-5.82479E-08,-1.429E-08,1000000,
89.6,3.86696666666667E-14,-6.32718888888889E-08,3.48027E-14,-5.69447E-08,-2.803E-08,1000000,
90,3.83555555555556E-14,-6.32631111111111E-08,3.452E-14,-5.69368E-08,-8.98E-09,1000000,
90.3995,3.80147777777778E-14,-6.45278888888889E-08,3.42133E-14,-5.80751E-08,-3.09E-08,1000000,
90.8,3.80745555555556E-14,-6.30886666666667E-08,3.42671E-14,-5.67798E-08,-4.3E-09,1000000,
91.2005,3.77885555555556E-14,-6.23734444444444E-08,3.40097E-14,-5.61361E-08,-1.883E-08,1000000,
91.6,3.80604444444444E-14,-6.4146E-08,3.42544E-14,-5.77314E-08,7.3E-09,1000000,
92,3.76501111111111E-14,-6.25942222222222E-08,3.38851E-14,-5.63348E-08,2.395E-08,1000000,
92.4,3.76905555555556E-14,-6.25103333333333E-08,3.39215E-14,-5.62593E-08,1.6E-09,1000000,
92.8005,3.75183333333333E-14,-6.28546666666667E-08,3.37665E-14,-5.65692E-08,2.765E-08,1000000,
93.2,3.73532222222222E-14,-6.3508E-08,3.36179E-14,-5.71572E-08,-3.62E-09,1000000,
93.6005,3.71663333333333E-14,-6.18061111111111E-08,3.34497E-14,-5.56255E-08,-4.42E-09,1000000,
93.9995,3.69358888888889E-14,-6.17023333333333E-08,3.32423E-14,-5.55321E-08,1.08E-08,1000000,
94.4,3.72555555555556E-14,-6.09606666666667E-08,3.353E-14,-5.48646E-08,1.475E-08,1000000,
94.8,3.66102222222222E-14,-6.22563333333333E-08,3.29492E-14,-5.60307E-08,2.19E-09,1000000,
95.2005,3.73834444444444E-14,-6.24043333333333E-08,3.36451E-14,-5.61639E-08,-6.37E-09,1000000,
95.5995,3.66246666666667E-14,-6.27155555555555E-08,3.29622E-14,-5.6444E-08,-2.226E-08,1000000,
96,3.70743333333333E-14,-6.3029E-08,3.33669E-14,-5.67261E-08,-7.55E-09,1000000,
96.3995,3.70788888888889E-14,-5.92566666666667E-08,3.3371E-14,-5.3331E-08,-1.12E-08,1000000,
96.8005,3.63991111111111E-14,-6.12255555555556E-08,3.27592E-14,-5.5103E-08,-8.81E-09,1000000,
97.2,3.6234E-14,-6.05655555555556E-08,3.26106E-14,-5.4509E-08,-2.29E-08,1000000,
97.6,3.64332222222222E-14,-6.09143333333333E-08,3.27899E-14,-5.48229E-08,-3.785E-08,1000000,
97.9995,3.60952222222222E-14,-5.96384444444444E-08,3.24857E-14,-5.36746E-08,-7.72E-09,1000000,
98.4,3.59964444444444E-14,-5.96626666666667E-08,3.23968E-14,-5.36964E-08,-1.395E-08,1000000,
98.7995,3.5758E-14,-5.68835555555556E-08,3.21822E-14,-5.11952E-08,-4.38E-09,1000000,
99.2005,3.61012222222222E-14,-6.33026666666667E-08,3.24911E-14,-5.69724E-08,2.49E-08,1000000,
99.5995,3.61345555555556E-14,-6.04683333333333E-08,3.25211E-14,-5.44215E-08,8E-10,1000000,
100,3.60828888888889E-14,-5.8005E-08,3.24746E-14,-5.22045E-08,-1.518E-08,1000000,
100.4,3.58012222222222E-14,-5.86473333333333E-08,3.22211E-14,-5.27826E-08,-2.253E-08,1000000,
100.7995,3.53767777777778E-14,-5.75038888888889E-08,3.18391E-14,-5.17535E-08,-1.292E-08,1000000,
101.2005,3.55225555555556E-14,-5.87708888888889E-08,3.19703E-14,-5.28938E-08,-2.099E-08,1000000,
101.6,3.54393333333333E-14,-5.91438888888889E-08,3.18954E-14,-5.32295E-08,-3.275E-08,1000000,
102,3.51125555555556E-14,-5.82874444444444E-08,3.16013E-14,-5.24587E-08,-7.05E-09,1000000,
102.4005,3.53472222222222E-14,-5.95721111111111E-08,3.18125E-14,-5.36149E-08,1.6E-10,1000000,
102.8005,3.53845555555556E-14,-6.12055555555556E-08,3.18461E-14,-5.5085E-08,5.18E-09,1000000,
103.2,3.50402222222222E-14,-5.80711111111111E-08,3.15362E-14,-5.2264E-08,-3.065E-08,1000000,
103.6005,3.46334444444444E-14,-5.6985E-08,3.11701E-14,-5.12865E-08,-3.4E-09,1000000,
104,3.44327777777778E-14,-5.90268888888889E-08,3.09895E-14,-5.31242E-08,-2.014E-08,1000000,
104.3995,3.48297777777778E-14,-5.49521111111111E-08,3.13468E-14,-4.94569E-08,-3.763E-08,1000000,
104.7995,3.45122222222222E-14,-6.03645555555556E-08,3.1061E-14,-5.43281E-08,-3.58E-09,1000000,
105.2,3.47082222222222E-14,-5.7762E-08,3.12374E-14,-5.19858E-08,-2.126E-08,1000000,
105.6005,3.43773333333333E-14,-5.66583333333333E-08,3.09396E-14,-5.09925E-08,-7.82E-09,1000000,
105.9995,3.4468E-14,-5.71638888888889E-08,3.10212E-14,-5.14475E-08,8.5E-09,1000000,
106.4,3.44072222222222E-14,-5.79651111111111E-08,3.09665E-14,-5.21686E-08,-2.362E-08,1000000,
106.8015,3.39273333333333E-14,-5.7219E-08,3.05346E-14,-5.14971E-08,-2.488E-08,1000000,
107.2,3.45294444444444E-14,-5.38395555555556E-08,3.10765E-14,-4.84556E-08,-1.728E-08,1000000,
107.5995,3.39041111111111E-14,-5.50933333333333E-08,3.05137E-14,-4.9584E-08,-3.576E-08,1000000,
108.0005,3.41464444444444E-14,-5.76516666666667E-08,3.07318E-14,-5.18865E-08,-1.348E-08,1000000,
108.401,3.40063333333333E-14,-5.70865555555556E-08,3.06057E-14,-5.13779E-08,4.63E-09,1000000,
108.8005,3.36795555555556E-14,-5.66428888888889E-08,3.03116E-14,-5.09786E-08,7.21E-09,1000000,
109.2005,3.38851111111111E-14,-5.60048888888889E-08,3.04966E-14,-5.04044E-08,-1.186E-08,1000000,
109.5995,3.37965555555556E-14,-5.53228888888889E-08,3.04169E-14,-4.97906E-08,-2.907E-08,1000000,
109.9995,3.36564444444444E-14,-5.55171111111111E-08,3.02908E-14,-4.99654E-08,-1.769E-08,1000000,
110.4005,3.35253333333333E-14,-5.43251111111111E-08,3.01728E-14,-4.88926E-08,-2.211E-08,1000000,
110.7995,3.35123333333333E-14,-5.71152222222222E-08,3.01611E-14,-5.14037E-08,-1.573E-08,1000000,
111.1995,3.3258E-14,-5.60578888888889E-08,2.99322E-14,-5.04521E-08,-2.41E-09,1000000,
111.6005,3.31582222222222E-14,-5.48768888888889E-08,2.98424E-14,-4.93892E-08,-3.656E-08,1000000,
112,3.30286666666667E-14,-5.58724444444444E-08,2.97258E-14,-5.02852E-08,-2.331E-08,1000000,
112.4,3.29963333333333E-14,-5.45303333333333E-08,2.96967E-14,-4.90773E-08,-1.686E-08,1000000,
112.8,3.31656666666667E-14,-5.59762222222222E-08,2.98491E-14,-5.03786E-08,3.25E-09,1000000,
113.2,3.28203333333333E-14,-5.44066666666667E-08,2.95383E-14,-4.8966E-08,1.399E-08,1000000,
113.5995,3.29021111111111E-14,-5.58944444444444E-08,2.96119E-14,-5.0305E-08,-6.37E-09,1000000,
113.9995,3.27932222222222E-14,-5.37621111111111E-08,2.95139E-14,-4.83859E-08,-1.861E-08,1000000,
114.4,3.27587777777778E-14,-5.3537E-08,2.94829E-14,-4.81833E-08,-5.9E-10,1000000,
114.8005,3.24756666666667E-14,-5.47223333333333E-08,2.92281E-14,-4.92501E-08,-1.05E-08,1000000,
115.2,3.25715555555556E-14,-5.22545555555556E-08,2.93144E-14,-4.70291E-08,-9.3E-09,1000000,
115.6,3.22993333333333E-14,-5.49187777777778E-08,2.90694E-14,-4.94269E-08,-6.16E-09,1000000,
116.0005,3.23011111111111E-14,-5.31043333333333E-08,2.9071E-14,-4.77939E-08,-1.3E-10,1000000,
116.399,3.22434444444444E-14,-5.46406666666667E-08,2.90191E-14,-4.91766E-08,-8.55E-09,1000000,
116.8,3.19051111111111E-14,-5.44353333333333E-08,2.87146E-14,-4.89918E-08,1.201E-08,1000000,
117.1995,3.21447777777778E-14,-5.18991111111111E-08,2.89303E-14,-4.67092E-08,1.98E-09,1000000,
117.6005,3.20196666666667E-14,-5.24685555555556E-08,2.88177E-14,-4.72217E-08,-2.53E-09,1000000,
118,3.23045555555556E-14,-5.31462222222222E-08,2.90741E-14,-4.78316E-08,-1.955E-08,1000000,
118.4,3.22663333333333E-14,-5.31087777777778E-08,2.90397E-14,-4.77979E-08,-3.034E-08,1000000,
118.7995,3.19096666666667E-14,-5.35193333333333E-08,2.87187E-14,-4.81674E-08,-1.631E-08,1000000,
119.201,3.1629E-14,-5.38791111111111E-08,2.84661E-14,-4.84912E-08,9.52E-09,1000000,
119.6,3.17263333333333E-14,-5.34133333333333E-08,2.85537E-14,-4.8072E-08,-2.436E-08,1000000,
119.9995,3.17453333333333E-14,-5.35281111111111E-08,2.85708E-14,-4.81753E-08,2.31E-09,1000000,
120.4005,3.16107777777778E-14,-5.25392222222222E-08,2.84497E-14,-4.72853E-08,-2.22E-09,1000000,
120.8005,3.14983333333333E-14,-5.2484E-08,2.83485E-14,-4.72356E-08,1.744E-08,1000000,
121.2005,3.14108888888889E-14,-5.15038888888889E-08,2.82698E-14,-4.63535E-08,5.31E-09,1000000,
121.5995,3.13061111111111E-14,-5.3208E-08,2.81755E-14,-4.78872E-08,-3.4E-09,1000000,
122,3.09888888888889E-14,-5.28062222222222E-08,2.789E-14,-4.75256E-08,-2.415E-08,1000000,
122.401,3.12545555555556E-14,-5.19497777777778E-08,2.81291E-14,-4.67548E-08,-1.57E-08,1000000,
122.8,3.14442222222222E-14,-5.24884444444444E-08,2.82998E-14,-4.72396E-08,1.194E-08,1000000,
123.2005,3.10865555555556E-14,-5.23007777777778E-08,2.79779E-14,-4.70707E-08,-1.377E-08,1000000,
123.6,3.06822222222222E-14,-5.25082222222222E-08,2.7614E-14,-4.72574E-08,-1.75E-08,1000000,
124.0005,3.09878888888889E-14,-5.191E-08,2.78891E-14,-4.6719E-08,-4.792E-08,1000000,
124.4,3.0646E-14,-5.19585555555556E-08,2.75814E-14,-4.67627E-08,-1.013E-08,1000000,
124.799,3.03832222222222E-14,-5.18283333333333E-08,2.73449E-14,-4.66455E-08,-2.44E-09,1000000,
125.1995,3.04116666666667E-14,-5.16053333333333E-08,2.73705E-14,-4.64448E-08,1.446E-08,1000000,
125.6,3.05294444444444E-14,-5.11484444444444E-08,2.74765E-14,-4.60336E-08,-1.152E-08,1000000,
126.0005,3.05821111111111E-14,-5.14464444444444E-08,2.75239E-14,-4.63018E-08,-1.949E-08,1000000,
126.4,3.03541111111111E-14,-5.09873333333333E-08,2.73187E-14,-4.58886E-08,-6.91E-09,1000000,
126.8005,3.03684444444444E-14,-5.20711111111111E-08,2.73316E-14,-4.6864E-08,1.074E-08,1000000,
127.2005,3.01004444444444E-14,-5.3358E-08,2.70904E-14,-4.80222E-08,-2.359E-08,1000000,
127.6,3.05083333333333E-14,-5.07798888888889E-08,2.74575E-14,-4.57019E-08,1.419E-08,1000000,
128.001,3.01875555555556E-14,-5.0718E-08,2.71688E-14,-4.56462E-08,-3.212E-08,1000000,
128.4,3.02192222222222E-14,-4.85813333333333E-08,2.71973E-14,-4.37232E-08,-1.676E-08,1000000,
128.7995,3.01391111111111E-14,-4.98262222222222E-08,2.71252E-14,-4.48436E-08,-1.005E-08,1000000,
129.1995,2.98215555555556E-14,-5.17068888888889E-08,2.68394E-14,-4.65362E-08,-1.213E-08,1000000,
129.6005,3.00256666666667E-14,-4.96562222222222E-08,2.70231E-14,-4.46906E-08,1.388E-08,1000000,
130,3.01103333333333E-14,-4.99343333333333E-08,2.70993E-14,-4.49409E-08,-8.97E-09,1000000,
130.4005,3.01517777777778E-14,-5.03162222222222E-08,2.71366E-14,-4.52846E-08,1.841E-08,1000000,
130.8005,2.96623333333333E-14,-5.11086666666667E-08,2.66961E-14,-4.59978E-08,6.16E-09,1000000,
131.2,2.9786E-14,-5.15722222222222E-08,2.68074E-14,-4.6415E-08,-2.68E-09,1000000,
131.6,2.94941111111111E-14,-4.94222222222222E-08,2.65447E-14,-4.448E-08,-3.685E-08,1000000,
132,2.93901111111111E-14,-5.04883333333333E-08,2.64511E-14,-4.54395E-08,-2.914E-08,1000000,
132.3995,2.96153333333333E-14,-5.18105555555556E-08,2.66538E-14,-4.66295E-08,-3.295E-08,1000000,
132.8,2.87418888888889E-14,-5.02344444444444E-08,2.58677E-14,-4.5211E-08,-1.58E-08,1000000,
133.2,2.89531111111111E-14,-4.58904444444444E-08,2.60578E-14,-4.13014E-08,-1.887E-08,1000000,
133.6,2.95147777777778E-14,-4.87357777777778E-08,2.65633E-14,-4.38622E-08,-2.88E-08,1000000,
134,2.89355555555556E-14,-4.81838888888889E-08,2.6042E-14,-4.33655E-08,-9.53E-09,1000000,
134.4,2.92963333333333E-14,-4.8952E-08,2.63667E-14,-4.40568E-08,5.3E-09,1000000,
134.8,2.91778888888889E-14,-4.56895555555556E-08,2.62601E-14,-4.11206E-08,2.122E-08,1000000,
135.2,2.89334444444444E-14,-4.97003333333333E-08,2.60401E-14,-4.47303E-08,-1.523E-08,1000000,
135.599,2.88522222222222E-14,-4.96517777777778E-08,2.5967E-14,-4.46866E-08,-3.91E-09,1000000,
136,2.87158888888889E-14,-4.88857777777778E-08,2.58443E-14,-4.39972E-08,-3.308E-08,1000000,
136.399,2.92783333333333E-14,-4.67976666666667E-08,2.63505E-14,-4.21179E-08,-3.481E-08,1000000,
136.7995,2.86498888888889E-14,-5.15302222222222E-08,2.57849E-14,-4.63772E-08,8.85E-09,1000000,
137.2005,2.86843333333333E-14,-4.6685E-08,2.58159E-14,-4.20165E-08,-1.531E-08,1000000,
137.6015,2.88712222222222E-14,-4.94553333333333E-08,2.59841E-14,-4.45098E-08,-2.168E-08,1000000,
138,2.82145555555556E-14,-4.79432222222222E-08,2.53931E-14,-4.31489E-08,2.664E-08,1000000,
138.4005,2.8542E-14,-4.7994E-08,2.56878E-14,-4.31946E-08,-1.321E-08,1000000,
138.8005,2.8412E-14,-4.81772222222222E-08,2.55708E-14,-4.33595E-08,1.557E-08,1000000,
139.2005,2.84605555555556E-14,-4.991E-08,2.56145E-14,-4.4919E-08,-5.21E-09,1000000,
139.5995,2.86941111111111E-14,-4.60095555555556E-08,2.58247E-14,-4.14086E-08,-4.65E-09,1000000,
139.9995,2.79953333333333E-14,-4.94971111111111E-08,2.51958E-14,-4.45474E-08,-2.78E-08,1000000,
140.4005,2.82473333333333E-14,-4.76783333333333E-08,2.54226E-14,-4.29105E-08,-2.796E-08,1000000,
140.8,2.80242222222222E-14,-4.57887777777778E-08,2.52218E-14,-4.12099E-08,2.181E-08,1000000,
141.2005,2.80063333333333E-14,-4.72058888888889E-08,2.52057E-14,-4.24853E-08,-2.596E-08,1000000,
141.6005,2.79543333333333E-14,-4.72501111111111E-08,2.51589E-14,-4.25251E-08,-1.362E-08,1000000,
142.0005,2.78331111111111E-14,-4.8367E-08,2.50498E-14,-4.35303E-08,4.09E-09,1000000,
142.4,2.757E-14,-4.50867777777778E-08,2.4813E-14,-4.05781E-08,-2.719E-08,1000000,
142.8,2.78295555555556E-14,-4.68505555555556E-08,2.50466E-14,-4.21655E-08,-5.49E-09,1000000,
143.1995,2.77962222222222E-14,-4.60801111111111E-08,2.50166E-14,-4.14721E-08,-6E-10,1000000,
143.6005,2.75334444444444E-14,-4.64398888888889E-08,2.47801E-14,-4.17959E-08,1.435E-08,1000000,
144.0005,2.73402222222222E-14,-4.89916666666667E-08,2.46062E-14,-4.40925E-08,-2.276E-08,1000000,
144.4,2.78404444444444E-14,-4.58395555555556E-08,2.50564E-14,-4.12556E-08,-3.829E-08,1000000,
144.7995,2.75878888888889E-14,-4.5036E-08,2.48291E-14,-4.05324E-08,-2.649E-08,1000000,
145.1995,2.76278888888889E-14,-4.49853333333333E-08,2.48651E-14,-4.04868E-08,1.083E-08,1000000,
145.6,2.74375555555556E-14,-4.5568E-08,2.46938E-14,-4.10112E-08,-5.028E-08,1000000,
146,2.72351111111111E-14,-4.5451E-08,2.45116E-14,-4.09059E-08,-1.618E-08,1000000,
146.4,2.74551111111111E-14,-4.44576666666667E-08,2.47096E-14,-4.00119E-08,-2.56E-09,1000000,
146.8,2.72193333333333E-14,-4.70248888888889E-08,2.44974E-14,-4.23224E-08,2.134E-08,1000000,
147.2,2.7212E-14,-4.75546666666667E-08,2.44908E-14,-4.27992E-08,7.19E-09,1000000,
147.6,2.6783E-14,-4.46894444444444E-08,2.41047E-14,-4.02205E-08,-3.751E-08,1000000,
147.9995,2.68845555555556E-14,-4.52015555555556E-08,2.41961E-14,-4.06814E-08,-8.47E-09,1000000,
148.3995,2.70917777777778E-14,-4.52832222222222E-08,2.43826E-14,-4.07549E-08,-1.531E-08,1000000,
148.7995,2.7043E-14,-4.3003E-08,2.43387E-14,-3.87027E-08,-8.74E-09,1000000,
149.2005,2.67914444444444E-14,-4.67224444444444E-08,2.41123E-14,-4.20502E-08,-2.337E-08,1000000,
149.5995,2.67074444444444E-14,-4.51993333333333E-08,2.40367E-14,-4.06794E-08,-3.271E-08,1000000,
150,2.65992222222222E-14,-4.73735555555556E-08,2.39393E-14,-4.26362E-08,1.722E-08,1000000,
150.4,2.66323333333333E-14,-4.37182222222222E-08,2.39691E-14,-3.93464E-08,1.484E-08,1000000,
150.8005,2.64321111111111E-14,-4.53494444444444E-08,2.37889E-14,-4.08145E-08,-2.034E-08,1000000,
151.1995,2.66814444444444E-14,-4.58968888888889E-08,2.40133E-14,-4.13072E-08,-2.979E-08,1000000,
151.5995,2.6052E-14,-4.10074444444444E-08,2.34468E-14,-3.69067E-08,-2.86E-08,1000000,
152,2.6606E-14,-4.42324444444444E-08,2.39454E-14,-3.98092E-08,-2.36E-08,1000000,
152.3995,2.68852222222222E-14,-4.59741111111111E-08,2.41967E-14,-4.13767E-08,-3.096E-08,1000000,
152.7995,2.59265555555556E-14,-4.43626666666667E-08,2.33339E-14,-3.99264E-08,-9.75E-09,1000000,
153.2015,2.61457777777778E-14,-4.42082222222222E-08,2.35312E-14,-3.97874E-08,-3.118E-08,1000000,
153.5995,2.60154444444444E-14,-4.43847777777778E-08,2.34139E-14,-3.99463E-08,-1.209E-08,1000000,
154,2.61155555555556E-14,-4.525E-08,2.3504E-14,-4.0725E-08,-6.3E-09,1000000,
154.4005,2.64422222222222E-14,-4.35878888888889E-08,2.3798E-14,-3.92291E-08,-1.573E-08,1000000,
154.8005,2.59637777777778E-14,-4.47224444444444E-08,2.33674E-14,-4.02502E-08,-4.86E-09,1000000,
155.1995,2.60188888888889E-14,-4.4387E-08,2.3417E-14,-3.99483E-08,-9.29E-09,1000000,
155.6,2.62216666666667E-14,-4.41971111111111E-08,2.35995E-14,-3.97774E-08,-8.26E-09,1000000,
156,2.59925555555556E-14,-4.47886666666667E-08,2.33933E-14,-4.03098E-08,-2.46E-08,1000000,
156.4005,2.59051111111111E-14,-4.31001111111111E-08,2.33146E-14,-3.87901E-08,-1.098E-08,1000000,
156.8005,2.58661111111111E-14,-4.40116666666667E-08,2.32795E-14,-3.96105E-08,1.246E-08,1000000,
157.1995,2.60048888888889E-14,-4.24996666666667E-08,2.34044E-14,-3.82497E-08,-2.33E-08,1000000,
157.5995,2.55186666666667E-14,-4.47268888888889E-08,2.29668E-14,-4.02542E-08,-4.678E-08,1000000,
158,2.57838888888889E-14,-4.12127777777778E-08,2.32055E-14,-3.70915E-08,-2.775E-08,1000000,
158.4005,2.56893333333333E-14,-4.44973333333333E-08,2.31204E-14,-4.00476E-08,-1.391E-08,1000000,
158.8,2.59602222222222E-14,-4.25041111111111E-08,2.33642E-14,-3.82537E-08,1.848E-08,1000000,
159.2,2.5708E-14,-4.27402222222222E-08,2.31372E-14,-3.84662E-08,3.225E-08,1000000,
159.6,2.52341111111111E-14,-4.35878888888889E-08,2.27107E-14,-3.92291E-08,1.694E-08,1000000,
159.9995,2.53088888888889E-14,-4.23583333333333E-08,2.2778E-14,-3.81225E-08,-4.328E-08,1000000,
160.4,2.56306666666667E-14,-4.17116666666667E-08,2.30676E-14,-3.75405E-08,-5.12E-09,1000000,
160.8,2.53436666666667E-14,-4.39123333333333E-08,2.28093E-14,-3.95211E-08,-2.577E-08,1000000,
161.1995,2.56067777777778E-14,-4.18087777777778E-08,2.30461E-14,-3.76279E-08,-3.475E-08,1000000,
161.5995,2.51304444444444E-14,-4.35988888888889E-08,2.26174E-14,-3.9239E-08,-3.93E-09,1000000,
161.9995,2.54613333333333E-14,-4.26011111111111E-08,2.29152E-14,-3.8341E-08,-1.37E-08,1000000,
162.4,2.50405555555556E-14,-3.93276666666667E-08,2.25365E-14,-3.53949E-08,-3.417E-08,1000000,
162.8,2.4795E-14,-4.25326666666667E-08,2.23155E-14,-3.82794E-08,-1.056E-08,1000000,
163.2,2.47137777777778E-14,-4.15547777777778E-08,2.22424E-14,-3.73993E-08,9.2E-09,1000000,
163.6,2.49027777777778E-14,-3.98065555555556E-08,2.24125E-14,-3.58259E-08,-1.989E-08,1000000,
164,2.5141E-14,-4.23142222222222E-08,2.26269E-14,-3.80828E-08,-3.931E-08,1000000,
164.3995,2.49861111111111E-14,-4.18153333333333E-08,2.24875E-14,-3.76338E-08,-1.738E-08,1000000,
164.8,2.49797777777778E-14,-4.13097777777778E-08,2.24818E-14,-3.71788E-08,-1.59E-09,1000000,
165.2,2.46411111111111E-14,-4.13892222222222E-08,2.2177E-14,-3.72503E-08,-2.593E-08,1000000,
165.599,2.47408888888889E-14,-4.34973333333333E-08,2.22668E-14,-3.91476E-08,-2.272E-08,1000000,
165.9995,2.43414444444444E-14,-4.17623333333333E-08,2.19073E-14,-3.75861E-08,-2.796E-08,1000000,
166.4,2.43164444444444E-14,-3.86454444444444E-08,2.18848E-14,-3.47809E-08,3.171E-08,1000000,
166.801,2.50321111111111E-14,-4.43625555555556E-08,2.25289E-14,-3.99263E-08,8.63E-09,1000000,
167.2005,2.46382222222222E-14,-4.24686666666667E-08,2.21744E-14,-3.82218E-08,-4.304E-08,1000000,
167.6,2.43192222222222E-14,-4.07468888888889E-08,2.18873E-14,-3.66722E-08,-3.688E-08,1000000,
168,2.41857777777778E-14,-4.21595555555556E-08,2.17672E-14,-3.79436E-08,-1.054E-08,1000000,
168.4,2.41888888888889E-14,-4.07623333333333E-08,2.177E-14,-3.66861E-08,1.562E-08,1000000,
168.7995,2.44471111111111E-14,-3.98904444444444E-08,2.20024E-14,-3.59014E-08,-1.069E-08,1000000,
169.1995,2.37821111111111E-14,-3.99698888888889E-08,2.14039E-14,-3.59729E-08,3.021E-08,1000000,
169.6,2.41646666666667E-14,-4.4389E-08,2.17482E-14,-3.99501E-08,-3.121E-08,1000000,
169.9995,2.40424444444444E-14,-4.21684444444444E-08,2.16382E-14,-3.79516E-08,-4.17E-09,1000000,
170.4005,2.43143333333333E-14,-4.08043333333333E-08,2.18829E-14,-3.67239E-08,-3.17E-08,1000000,
170.7995,2.43393333333333E-14,-4.2206E-08,2.19054E-14,-3.79854E-08,-2.544E-08,1000000,
171.2,2.40174444444444E-14,-4.15901111111111E-08,2.16157E-14,-3.74311E-08,-1.776E-08,1000000,
171.6,2.39644444444444E-14,-4.05504444444444E-08,2.1568E-14,-3.64954E-08,1.309E-08,1000000,
172,2.35737777777778E-14,-4.04885555555556E-08,2.12164E-14,-3.64397E-08,-2.97E-08,1000000,
172.3995,2.35277777777778E-14,-4.06055555555556E-08,2.1175E-14,-3.6545E-08,-1.736E-08,1000000,
172.8,2.36158888888889E-14,-4.16716666666667E-08,2.12543E-14,-3.75045E-08,-1.019E-08,1000000,
173.2,2.39563333333333E-14,-3.6575E-08,2.15607E-14,-3.29175E-08,-4.071E-08,1000000,
173.599,2.34761111111111E-14,-3.83342222222222E-08,2.11285E-14,-3.45008E-08,3E-11,1000000,
173.9995,2.37241111111111E-14,-4.08903333333333E-08,2.13517E-14,-3.68013E-08,1.58E-09,1000000,
174.4,2.37388888888889E-14,-3.90405555555556E-08,2.1365E-14,-3.51365E-08,-5.247E-08,1000000,
174.8005,2.3924E-14,-4.05923333333333E-08,2.15316E-14,-3.65331E-08,-7.75E-09,1000000,
175.2,2.35551111111111E-14,-4.29387777777778E-08,2.11996E-14,-3.86449E-08,-5.21E-09,1000000,
175.6,2.37023333333333E-14,-4.03318888888889E-08,2.13321E-14,-3.62987E-08,-1.707E-08,1000000,
176.001,2.32526666666667E-14,-3.86211111111111E-08,2.09274E-14,-3.4759E-08,2.58E-08,1000000,
176.4,2.34437777777778E-14,-4.05592222222222E-08,2.10994E-14,-3.65033E-08,-3.419E-08,1000000,
176.8005,2.35607777777778E-14,-3.90824444444444E-08,2.12047E-14,-3.51742E-08,3.95E-09,1000000,
177.2,2.33956666666667E-14,-3.8471E-08,2.10561E-14,-3.46239E-08,-2.5E-08,1000000,
177.6,2.3421E-14,-3.99632222222222E-08,2.10789E-14,-3.59669E-08,-1.055E-08,1000000,
177.9995,2.31444444444444E-14,-4.01706666666667E-08,2.083E-14,-3.61536E-08,-1.612E-08,1000000,
