# of variables,1,Sweep points,601,Parametric points,1,
Vd,Vs,Id,Is,time_s,Id_dens,Ron
-9.950000E+0,0.000000E+0,-4.667195E-4,4.667095E-4,-3.134504E+1,7.778659E-3,7.412571E+3
-1.000000E+1,0.000000E+0,-4.669006E-4,4.668911E-4,-3.127884E+1,7.781677E-3,-1.656689E+4
-1.005000E+1,0.000000E+0,-4.669999E-4,4.669904E-4,-3.121206E+1,7.783332E-3,-3.021079E+4
-1.010000E+1,0.000000E+0,-4.669112E-4,4.669004E-4,-3.114534E+1,7.781853E-3,3.381864E+4
-1.015000E+1,0.000000E+0,-4.667020E-4,4.666921E-4,-3.107892E+1,7.778367E-3,1.434046E+4
-1.020000E+1,0.000000E+0,-4.667728E-4,4.667639E-4,-3.101283E+1,7.779547E-3,-4.236712E+4
-1.025000E+1,0.000000E+0,-4.666712E-4,4.666622E-4,-3.094622E+1,7.777854E-3,2.953559E+4
-1.030000E+1,0.000000E+0,-4.666838E-4,4.666740E-4,-3.087915E+1,7.778063E-3,-2.397191E+5
-1.035000E+1,0.000000E+0,-4.672152E-4,4.672057E-4,-3.081284E+1,7.786920E-3,-5.645083E+3
-1.040000E+1,0.000000E+0,-4.669562E-4,4.669458E-4,-3.074602E+1,7.782603E-3,1.158193E+4
-1.045000E+1,0.000000E+0,-4.669392E-4,4.669305E-4,-3.068020E+1,7.782321E-3,1.771121E+5
-1.050000E+1,0.000000E+0,-4.671694E-4,4.671596E-4,-3.061230E+1,7.786157E-3,-1.303315E+4
-1.055000E+1,0.000000E+0,-4.671725E-4,4.671635E-4,-3.054592E+1,7.786209E-3,-9.633572E+5
-1.060000E+1,0.000000E+0,-4.671941E-4,4.671847E-4,-3.047910E+1,7.786568E-3,-1.391083E+5
-1.065000E+1,0.000000E+0,-4.670765E-4,4.670667E-4,-3.041323E+1,7.784609E-3,2.552097E+4
-1.070000E+1,0.000000E+0,-4.670802E-4,4.670705E-4,-3.034600E+1,7.784671E-3,-8.116474E+5
-1.075000E+1,0.000000E+0,-4.670204E-4,4.670112E-4,-3.027941E+1,7.783673E-3,5.013581E+4
-1.080000E+1,0.000000E+0,-4.673305E-4,4.673208E-4,-3.021337E+1,7.788841E-3,-9.675166E+3
